spotify_track_id	track_name	artist_name	popularity	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	valence
21Bvy2KqGLO0f3QVgvruru	APOCALYPSIS NOCTIS	Yoko Shimomura	44	0.273	0.394	254600.0	0.829	0.867	5.0	0.0912	-6.037	0.0	0.0493	126.161	0.423
5fHgBb5r91Jmdr8Q7dwmad	Secunda	Jeremy Soule	60	0.985	0.144	123216.0	0.0462	0.942	7.0	0.0934	-27.928	0.0	0.0288	89.996	0.0868
3U6RoFEqhBzhHBb2mgCF5j	In The Air - Live	Advaita	16	0.512	0.496	413793.0	0.487	0.0956	10.0	0.0915	-12.91	1.0	0.0323	174.077	0.443
3mwFncaI2HBczQ92GP9MQF	Lady Writer	Dire Straits	48	0.166	0.633	229027.0	0.798	0.617	1.0	0.0812	-9.313	0.0	0.0281	147.645	0.963
1gv28IXxK81aukLZO2cliR	Jagate Ananda Jagye Amar	Rabindranath Tagore	0	0.777	0.513	253440.0	0.303	0.0	0.0	0.236	-13.656	1.0	0.0356	118.799	0.629
07JNWmpPeixstJ7fa2AKAP	Gates of Dawn - Live	Advaita	11	0.000502	0.32	392000.0	0.585	0.396	6.0	0.432	-12.943	1.0	0.0386	104.969	0.114
1LsxMKb7I3dVYPzOymalL4	Kaahe Na Laage - Live	Advaita	12	0.681	0.316	340000.0	0.417	0.000189	11.0	0.617	-12.468	0.0	0.0394	141.609	0.239
20wrTclP7VoAOUvIBrHxu9	Kaise Dharoon Dheer - Live	Advaita	9	0.749	0.372	545638.0	0.369	0.796	2.0	0.282	-13.355	1.0	0.0321	148.937	0.133
4WLwUAMqUPm59jvu7hQauG	Milan - Live	Advaita	12	0.057	0.323	457007.0	0.523	0.000638	10.0	0.0686	-12.515	1.0	0.0352	122.729	0.288
6pnwfWyaWjQiHCKTiZLItr	Shine On You Crazy Diamond (Pts. 1-5)	Pink Floyd	67	0.772	0.264	811077.0	0.294	0.686	7.0	0.107	-11.941	0.0	0.028	137.937	0.0402
4Tw9JYF9HOuPRyccNWMgwf	The Hardest Part	Coldplay	63	0.0228	0.5	262880.0	0.844	0.00398	10.0	0.455	-5.883	1.0	0.0368	123.721	0.445
1ghlpxVfPbFH2jenrv9vVw	Duel of the Fates	John Williams	65	0.733	0.471	254347.0	0.411	0.853	2.0	0.28	-15.755	1.0	0.041	79.986	0.282
29d0nY7TzCoi22XBqDQkiP	Running Up That Hill (A Deal With God) - 2018 Remaster	Kate Bush	91	0.659	0.625	300840.0	0.533	0.00266	10.0	0.0546	-11.903	0.0	0.0596	108.296	0.139
3a94TbZOxhkI9xuNwYL53b	Black Summer	Red Hot Chili Peppers	74	0.0267	0.417	232412.0	0.682	0.000669	1.0	0.109	-5.071	1.0	0.0295	105.542	0.351
6mFkJmJqdDVQ1REhVfGgd1	Wish You Were Here	Pink Floyd	77	0.735	0.481	334744.0	0.262	0.0114	7.0	0.832	-15.73	1.0	0.0414	122.861	0.375
2LjaNzmzPfljimPxRgFVye	Robot Boy	Linkin Park	41	0.0153	0.58	268987.0	0.784	0.00912	7.0	0.142	-5.739	1.0	0.0289	129.993	0.214
0EIR7jP0Lqb6urEpGD3xic	Galdra	Faun	39	0.00598	0.533	370107.0	0.602	0.752	7.0	0.206	-8.294	1.0	0.0293	115.501	0.27
2Bc3MfDIdz8R71cE04Z2pm	Eki Labonye Purno Prano	Lopamudra Mitra	21	0.776	0.499	298057.0	0.386	5.09e-05	7.0	0.159	-8.398	0.0	0.0305	143.811	0.207
2TYPyMen3VrXo4bljRLQvo	And Plague Flowers the Kaleidoscope	Ne Obliviscaris	42	2.71e-05	0.337	692853.0	0.873	0.11	2.0	0.149	-7.415	1.0	0.0667	107.415	0.186
5JBQmOqevylVCkUawfp4UI	Kemon Achho Sahar	Lakkhichhara	25	0.419	0.565	436168.0	0.501	0.00296	7.0	0.0874	-8.775	1.0	0.0291	131.976	0.131
071BtONQBIq4SkvO0okS4k	Telegraph Road	Dire Straits	42	0.016	0.381	858533.0	0.592	0.363	2.0	0.273	-10.124	0.0	0.0322	124.984	0.285
4aPltIjGkJx26Y9cBHu14U	APOCALYPSIS AQUARIUS	Yoko Shimomura	39	0.000415	0.371	252533.0	0.759	0.717	5.0	0.148	-6.995	0.0	0.0443	126.124	0.333
1dBubDq1rKvxmPAWN2dXmC	Shine On You Crazy Diamond (Pts. 1-5, 7) - Live	Pink Floyd	51	0.211	0.204	816733.0	0.401	0.000488	7.0	0.446	-15.2	0.0	0.0372	143.397	0.103
6bIPHR8AJG5HAcn9oF21Ma	Marooned	Pink Floyd	56	0.384	0.396	330385.0	0.341	0.568	7.0	0.12	-14.836	1.0	0.0303	74.203	0.148
7J8mOaRQCGcSvSZxSWoSO0	Suicide Mission	Jack Wall	43	0.276	0.464	285880.0	0.523	0.932	2.0	0.325	-12.313	0.0	0.0421	116.966	0.125
