name	genre
The Beatles	merseybeat
The Beatles	psychedelic rock
The Beatles	rock
Princess Nokia	escape room
Princess Nokia	lgbtq+ hip hop
Princess Nokia	trap queen
Leon Bridges	modern blues
Mdou Moctar	desert blues
Mdou Moctar	tuareg guitar
Andrew Bird	art pop
Andrew Bird	baroque pop
Andrew Bird	chamber pop
Andrew Bird	chicago indie
Andrew Bird	indie folk
Andrew Bird	indie pop
Andrew Bird	indie rock
Andrew Bird	melancholia
Andrew Bird	stomp and holler
Nicola Cruz	ecuadorian indie
Nicola Cruz	latintronica
Nicola Cruz	organic electronic
Unknown Mortal Orchestra	chillwave
Unknown Mortal Orchestra	indie rock
Unknown Mortal Orchestra	indie soul
Unknown Mortal Orchestra	kiwi rock
Unknown Mortal Orchestra	neo-psychedelic
Unknown Mortal Orchestra	new rave
Unknown Mortal Orchestra	portland hip hop
Unknown Mortal Orchestra	psychedelic pop
Rigoberta Bandini	spanish synthpop
Florence + The Machine	baroque pop
Florence + The Machine	pop
Florence + The Machine	uk alternative pop
Sam Smith	dance pop
Sam Smith	pop
Sam Smith	uk pop
Joaquín Sabina	cantautor
Joaquín Sabina	rock en espanol
Joaquín Sabina	spanish pop
Joaquín Sabina	trova
HammerFall	gothenburg metal
HammerFall	melodic metal
HammerFall	metal
HammerFall	neo classical metal
HammerFall	power metal
HammerFall	swedish power metal
HammerFall	symphonic metal
Sabaton	metal
Sabaton	power metal
Sabaton	swedish metal
Sabaton	swedish power metal
Casiio	NA
xander.	NA
S N U G	japanese chillhop
Kainbeats	anime lo-fi
softy	lo-fi beats
goosetaf	lo-fi beats
Sleepermane	NA
l'Outlander	lo-fi jazzhop
Loafy Building	NA
DaniSogen	japanese chillhop
Jhove	NA
Towerz	NA
Tibeauthetraveler	NA
ENRA	lo-fi beats
Hoffy Beats	lo-fi jazzhop
amies	NA
Dimension 32	NA
Yasumu	lo-fi beats
HM Surf	lo-fi beats
Laffey	lo-fi beats
TABAL	lo-fi beats
Coldplay	permanent wave
Coldplay	pop
Dire Straits	album rock
Dire Straits	classic rock
Dire Straits	mellow gold
Dire Straits	rock
